PK;NOMBRE;DESCRIPCION-ENTIDAD;HORARIO;EQUIPAMIENTO;TRANSPORTE;DESCRIPCION;ACCESIBILIDAD;CONTENT-URL;NOMBRE-VIA;CLASE-VIAL;TIPO-NUM;NUM;PLANTA;PUERTA;ESCALERAS;ORIENTACION;LOCALIDAD;PROVINCIA;CODIGO-POSTAL;COD-BARRIO;BARRIO;COD-DISTRITO;DISTRITO;COORDENADA-X;COORDENADA-Y;LATITUD;LONGITUD;TELEFONO;FAX;EMAIL;TIPO
7805;"Centro de Turismo Plaza Mayor";"Madrid cuenta en el Salón de Columnas de la Casa de la Panadería de la céntrica Plaza Mayor con uno de los más modernos centros turísticos del país que ofrece atención especializada con una plantilla de profesionales expertos en turismo e idiomas que atiende personalmente a los visitantes y da respuesta también a todas las peticiones de información que se realizan de manera no presencial. Centro de turismo cofinanciado por el Fondo Europeo de Desarrollo Regional.";"Lunes a domingos: 09:00 - 20:00 h  Horarios especiales Navidad:  24 diciembre: Apertura en su horario habitual / Cierre al público a las 17:00 h 25 diciembre: Apertura a las 11:00 h / Cierre a la hora habitual 31 diciembre: Apertura en su horario habitual / Cierre al público a las 17:00 h 1 enero: Apertura a las 11:00 h / Cierre a la hora habitual";"Atención presencial en varios idiomas  Atención especializada  Servicio de atención no presencial (teléfono 915 787 810 y email turismo@esmadrid.com) Atención por Whatsapp 619 111 094 Autoconsulta con folletos descargables mediante código QR Wifi gratuita Taquilla punto de venta para entradas de Teatros Municipales. Horario de martes a domingos: 10:30 - 14:30 h / 16:30 - 20:00 h. Cerrada: 24, 25 y 31 diciembre, 1 enero  Tienda con recuerdos y artesanías madrileñas (solo pago con tarjeta de crédito)   Accesibilidad:     Programa de visitas guiadas accesibles (previa reserva)     Lengua de Signos Española     Bucles magnéticos (3)     Encaminamientos podotáctiles     Apoyos isquiáticos     Plano háptico     Mostrador adaptado     Guía de Turismo Accesible     Área tecnológica: Audiovisuales  El Centro de Turismo de Plaza Mayor está certificado en la UNE 170001-2 de Accesibilidad Universal.";"Metro: Sol (líneas 1, 2, 3), Ópera (línea 2, 5, Ramal)  Renfe: Sol (líneas C3, C4)";"";"1,4,5,6";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=b0a093e5fd61c010VgnVCM1000000b205a0aRCRD";"MAYOR";"PLAZA";"V";"27";"";"";"";"";"MADRID";"MADRID";"28012";"6";"SOL";"1";"CENTRO";"439983";"4474148";"40.4157939804409";"-3.7074105137385245";"915 787 810";"";"turismo@esmadrid.com";"/contenido/entidadesYorganismos/OficinasTurismo"
11209095;"Centro de Turismo de Sol. Comunidad de Madrid";"";"De lunes a sábado de 9 a 20 horas. Domingos y festivos de 9 a 14 horas. Cerrado: 1 enero, 1 mayo y 25 diciembre.";"";"Metro: Sol (línea 1, 2, 3)  Renfe: Sol (C3, C3a, C4)";"";"3";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=8ff104fc413c3710VgnVCM2000001f4a900aRCRD";"PUERTA DEL SOL";"PLAZA";"V";"5";"";"";"";"";"MADRID";"MADRID";"28013";"6";"SOL";"1";"CENTRO";"440372";"4474236";"40.41661777543638";"-3.702829899539909";"912 723 400";"";"turismo@madrid.org";"/contenido/entidadesYorganismos/OficinasTurismo"
3344;"Faro de la Moncloa";"Vistas a 92 metros de altura que recorren los ascensores panorámicos que trasladan a los visitantes hasta el gran mirador del Faro de Moncloa, que emerge en el corazón de la Ciudad Universitaria de Madrid. Se trata de una torre de iluminación, construida en 1992, año en que la ciudad fue designada Capital Europea del Cultura, de 110 metros de altura. A través de sus enormes cristaleras se pueden contemplar el Palacio Real, la Catedral de la Almudena, el edificio de Telefónica en la Gran Vía, las Cuatro Torres y, de fondo, la sierra de Guadarrama.";"Mirador: de martes a domingo de 9:30 a 20 (última subida a las 19:30 horas).  Taquilla: de martes a domingo de 9:30 a 19:30 horas.  Lunes cerrado, excepto: 14 y 21 de abril, 30 de junio, 1 de septiembre, 10 de noviembre, 8 y 29 diciembre de 2025 y 5 de enero de 2026.  Horario especial Navidad:   Días 24 y 31 de diciembre se cerrará al público a las 17 horas (última subida a las 16:30 horas).  Días 25 de diciembre y 1 de enero se abrirá a las 11 horas.";"Las visitas al mirador del Faro de Moncloa se podrán ver afectadas por las inclemencias meteorológicas. En caso de condiciones adversas, el acceso al mirador permanecerá cerrado.   Si quieres consultar si ahora está abierto, haz click en FARO DE MONCLOA (esmadrid.com)   Por motivos de seguridad, en el mirador no podrá haber más de una silla de ruedas al mismo tiempo.";"Metro: Moncloa (líneas 3, 6)";"";"1";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=ee4f13db5b71c010VgnVCM1000000b205a0aRCRD";"MEMORIA";"AVENIDA";"V";"2";"";"";"";"";"MADRID";"MADRID";"28040";"3";"CIUDAD UNIVERSITARIA";"9";"MONCLOA-ARAVACA";"438791";"4476541";"40.43727075977316";"-3.721682694006853";"910 563 146";"";"faromoncloa@esmadrid.com";"/contenido/entidadesYorganismos/OficinasTurismo"
10692696;"Madrid Film Office";"Madrid Film Office es un servicio público del Ayuntamiento de Madrid que tiene como misión promocionar la ciudad como escenario de rodaje de producciones audiovisuales, asistir a las empresas y a los profesionales que eligen la ciudad de Madrid para llevar a cabo sus proyectos, apoyar al sector audiovisual madrileño y estimular la inversión y el desarrollo local. Madrid Film Office colabora desde la fase de preproducción para facilitar la búsqueda de localizaciones, te asesora en materia de permisos y te acompaña durante el desarrollo de los proyectos audiovisuales en la ciudad de Madrid. La oficina está abierta a consultas y solicitudes de asistencia por vía telefónica o email. Si deseas una atención presencial, solicita cita previa a través del correo electrónico info@madridfilmoffice.com.";"Horario de trabajo de la oficina: de 9 a 16 horas.";"Funciones que presta  La oficina ofrece los siguientes servicios básicos a los productores que desean rodar en Madrid:  1. Ayuda en la búsqueda de localizaciones para rodajes  Apoyo en la búsqueda de localizaciones que se adecúen a las necesidades de las producciones y asesoría en el terreno de la logística de producción y postproducción a desarrollar en Madrid. Madrid Film Office cuenta con un catálogo con sugerencias de localizaciones para rodajes en la ciudad de Madrid: https://madridfilmoffice.com/localizaciones/.   2. Orientación en la gestión de permisos de rodaje  Información sobre gestores, procedimientos, tarifas y buenas prácticas para la obtención de permisos de rodaje en espacios municipales, así como localizaciones institucionales y privadas. Madrid Film Office no tiene autoridad para dar los permisos de rodaje en ningún espacio municipal o extramunicipal, actuando únicamente como una oficina de orientación en la búsqueda del titular correspondiente y de apoyo en el proceso de petición de los permisos. En el caso de los espacios municipales:  Los permisos de rodaje en vía pública, parques y jardines los otorga el Negociado de Autorizaciones de Rodaje, perteneciente al Área de Gobierno de Medio Ambiente y Movilidad. Cuenta con dos tipos de permisos de rodaje, que se pueden solicitar electrónica o presencialmente en sus oficinas (C/ Albarracín, 33). Los permisos de rodaje en edificios e instalaciones municipales los otorgan los diferentes y múltiples órganos municipales de los que son competencia. Por ejemplo, los centros deportivos y culturales municipales suelen gestionarlos las Juntas Municipales de Distrito en las que se ubican, los cementerios municipales los gestiona la Empresa Municipal de Servicios Funerarios y Cementerios de Madrid, etc.   3. Asistencia en la gestión de servicios municipales  Mediación entre el sector audiovisual y el amplio abanico de departamentos municipales con el que pueden necesitar contactar y colaborar (alumbrado, zonas verdes, mobiliario urbano, etc.). En este sentido, conocidos los servicios que el productor necesita, Madrid Film Office se presta a ayudar en:  La búsqueda de los posibles interlocutores municipales implicados. El estudio de la viabilidad de la petición solicitada. La coordinación entre empresa y departamento municipal.   4.  Información sobre empresas y profesionales del sector audiovisual   Madrid Film Office pone a disposición de los interesados un directorio de profesionales y de empresas del sector audiovisual en Madrid:   Empresas: https://madridfilmoffice.com/directorio-empresas/  Profesionales: https://madridfilmoffice.com/directorio-profesionales/";"Metro: Sol (líneas 1, 2 y 3), Ópera (líneas 2, 5, Ramal).  Bus: 50, 31, 65, SE712, 17, 002, 35, 18, 23.  Cercanías Renfe: Sol (líneas C3, C3a y C4).  Bicimad: Estación 32 (plaza Provincia, 1) / estación 31 (calle Mayor, 20).  Aparcamiento: Plaza Mayor (55), Plaza Mayor.";"";"1";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=b72a196f7d003610VgnVCM2000001f4a900aRCRD";"MAYOR";"PLAZA";"V";"27";"";"";"";"";"MADRID";"MADRID";"28012";"6";"SOL";"1";"CENTRO";"439983";"4474148";"40.4157939804409";"-3.7074105137385245";"913 184 588";"";"info@madridfilmoffice.com";"/contenido/entidadesYorganismos/OficinasTurismo"
7836;"Oficina Joven TIVE - Moncloa";"";"De lunes a viernes, de 9 a 19 horas (abril a septiembre). De lunes a viernes, de 9 a 14 horas (octubre a marzo).";"Información:   Actividades culturales, deportivas y de ocio Carnés Cursos y talleres Garantía juvenil   Trámites:   Expedición de carnés Inscripción Garantía Juvenil";"Metro: Moncloa (líneas 3 y 6)";"";"1";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=397e19d41471c010VgnVCM1000000b205a0aRCRD";"FERNANDO EL CATÓLICO";"CALLE";"V";"88";"";"";"";"";"MADRID";"MADRID";"28015";"1";"GAZTAMBIDE";"7";"CHAMBERI";"439117";"4476223";"40.43442736874463";"-3.717814046077588";"915 437 412";"";"correo.cridj@madrid.org";"/contenido/entidadesYorganismos/OficinasTurismo"
27402;"Oficina de Turismo de Andorra";"";"";"";"Metro: Retiro (línea 2), Serrano (línea 4), Banco de España (línea 2)  Cercanias: Recoletos (C1, C2, C7, C8, C10)";"";"3";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=eb68444a2951c010VgnVCM2000000c205a0aRCRD";"ALCALA";"CALLE";"V";"73";"";"";"";"";"MADRID";"MADRID";"28009";"1";"RECOLETOS";"4";"SALAMANCA";"441686";"4474653";"40.4204717248739";"-3.6873856851812166";"914 317 453";"";"info.es@visitandorra.com";"/contenido/entidadesYorganismos/OficinasTurismo"
127469;"Oficina de Turismo de Brasil";"";"";"";"Metro: Alonso Martínez (líneas 4, 5, 10), Rubén Darío (línea 5), Colón (línea 4)";"";"3";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=b15d47048781c010VgnVCM1000000b205a0aRCRD";"ALMAGRO";"CALLE";"V";"28";"2ª";"";"";"";"MADRID";"MADRID";"28010";"4";"ALMAGRO";"7";"CHAMBERI";"441238";"4475736";"40.43018984080442";"-3.6927619911552654";"917 004 650";"";"secom.madrid@itamaraty.gov.br";"/contenido/entidadesYorganismos/OficinasTurismo"
6416785;"Oficina de Turismo de Guatemala";"";"";"";"Metro: Cuzco (línea 10)";"";"3";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=df5f44e4373f6310VgnVCM1000000b205a0aRCRD";"CASTELLANA";"PASEO";"V";"178";"6";"IZQUIERDA";"";"";"MADRID";"MADRID";"28046";"5";"NUEVA ESPAÑA";"5";"CHAMARTIN";"441569";"4479133";"40.46081583825652";"-3.689177427623146";"913 440 347 / 913 441 417";"";"turismo@embajadaguatemala.es";"/contenido/entidadesYorganismos/OficinasTurismo"
39693;"Oficina de Turismo de Irán";"";"";"";"Metro: Avenida de América (líneas 4, 6, 7, 9), Gregorio Marañón (líneas 7, 10), Núñez de Balboa (líneas 5, 9)";"";"3";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=66e6e7510551c010VgnVCM2000000c205a0aRCRD";"MARIA DE MOLINA";"CALLE";"V";"26";"1ª";"IZQUIERDA";"";"";"MADRID";"MADRID";"28006";"6";"CASTELLANA";"4";"SALAMANCA";"441920";"4476551";"40.43758020962193";"-3.684793470102174";"915 643 613";"";"iran@iransara.es";"/contenido/entidadesYorganismos/OficinasTurismo"
7834;"Oficina de Turismo de Jordania";"";"";"";"Metro: Diego de León (líneas 4, 5 y 6), Manuel Becerra (líneas 2 y 6)";"";"3";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=ad3d19d41471c010VgnVCM1000000b205a0aRCRD";"MONTESA";"CALLE";"V";"41";"";"";"";"";"MADRID";"MADRID";"28006";"5";"LISTA";"4";"SALAMANCA";"442981";"4475769";"40.430608207603065";"-3.6722235177864584";"915 428 006";"";"spain@visitjordan.com";"/contenido/entidadesYorganismos/OficinasTurismo"
