idEncuesta;Nombre Encuesta;FechaFinParticipación;idParticipacion;FechaParticipacion;Distrito;Edad;Nacionalidad;Sexo;Marque NO, en caso de no querer realizar esta encuesta y querer darse de baja en la lista de distribución que se emplea para invitarle a participar en encuestas de satisfacción relacionadas con el servicio que presta la Biblioteca Histórica;¿Con qué finalidad se dirige habitualmente a la Biblioteca Histórica Municipal?;¿Puede indicarnos a qué otros fines?;¿Cuántas veces ha acudido en el último año a la Biblioteca Histórica?;¿Ha utilizado el servicio de consulta en sala?;¿Qué opinión le merece el tiempo de espera para ser atendido? Valore de 0 a 10. Consulta en sala;¿Ha utilizado el servicio de reprografía?;¿Qué opinión le merece el tiempo de espera para la recogida de los documentos? Valore de 0 a 10. Servicio de reprografía;¿Ha participado en alguna actividad organizada por la Biblioteca Histórica (visitas guiadas, exposiciones, conferencias, talleres, presentaciones, etc.)?;¿Qué opinión le merecen las actividades? Valore de 0 a 10.;Servicio de información general y especializada;Servicio de reserva de documentos;¿Conoce la página web de la Biblioteca Histórica?;La actualización de la información y los contenidos;La facilidad de la búsqueda en el catálogo;La facilidad de localización de obras digitalizadas;Tiempo de descarga de los documentos digitalizados;El edificio y las instalaciones;El horario de apertura.;La información general y especializada recibida;El uso de la red wifi;El trato y atención recibidos;El proceso de realización de carnés;La adecuación de la colección a sus necesidades;¿Cuál es su valoración general de la Biblioteca Histórica y sus servicios? Valore de 0 a 10.;PREGUNTA 13 De manera global, el servicio prestado por la Biblioteca Histórica Municipal ha sido: ;¿Qué medidas sugiere para mejorar la calidad de los servicios de la Biblioteca Histórica de Madrid?;¿En cuál de los siguientes grupos de edad se encuentra usted?;Indiquemos su correo electrónico y a partir de estos momentos no recibirá invitación para participar en encuestas de satisfacción relacionadas con la Biblioteca Histórica Municipal.
ENCUESTA DIGITAL;Encuesta de satisfacción 2021: Bibliotecas especializadas del Ayuntamiento de Madrid. Biblioteca Histórica;2021-12-23 00:00:00.0;190065;2021-11-23 11:12:58. 0;;;;;Iniciar la encuesta;Interés profesional;;0;Sí;7;No;;No;;6;8;Sí;8;8;9;8;8;6;7;8;8;8;10;7;No sabe/no contesta;;De 45 a 64 años;
ENCUESTA DIGITAL;Encuesta de satisfacción 2021: Bibliotecas especializadas del Ayuntamiento de Madrid. Biblioteca Histórica;2021-12-23 00:00:00.0;190069;2021-11-23 11:15:0. 0;;;;;Iniciar la encuesta;Investigación y estudio;;6;Sí;9;No;;Sí;9;4;5;Sí;8;8;8;7;8;9;9;8;10;9;8;9;No sabe/no contesta;No hace falta ninguna, ya que su funcionamiento es muy satisfactorio;Más de 65 años;
ENCUESTA DIGITAL;Encuesta de satisfacción 2021: Bibliotecas especializadas del Ayuntamiento de Madrid. Biblioteca Histórica;2021-12-23 00:00:00.0;190084;2021-11-23 11:29:31. 0;;;;;Iniciar la encuesta;Investigación y estudio;;5;Sí;10;No;;No;;10;10;Sí;No sabe / No contesta;No sabe / No contesta;No sabe / No contesta;8;10;6;10;5;8;10;10;10;No sabe/no contesta;Que el personal (no digo todo) sea un poco mas amable, aunque por regla general la mayoría son bastante simpático y te ayudan en todo.;De 18 a 29 años;
ENCUESTA DIGITAL;Encuesta de satisfacción 2021: Bibliotecas especializadas del Ayuntamiento de Madrid. Biblioteca Histórica;2021-12-23 00:00:00.0;190087;2021-11-23 11:31:54. 0;;;;;Iniciar la encuesta;Investigación y estudio;;0;Sí;7;Sí;7;Sí;8;No he utilizado nunca el servicio;No he utilizado nunca el servicio;Sí;8;8;8;8;8;7;7;No sabe/ No contesta;7;No sabe/ No contesta;8;8;No sabe/no contesta;;De 45 a 64 años;
ENCUESTA DIGITAL;Encuesta de satisfacción 2021: Bibliotecas especializadas del Ayuntamiento de Madrid. Biblioteca Histórica;2021-12-23 00:00:00.0;190127;2021-11-23 12:19:11. 0;;;;;Iniciar la encuesta;Interés personal;;0;Sí;9;No;;No;;No he utilizado nunca el servicio;No he utilizado nunca el servicio;No;;;;;8;8;8;8;8;8;8;8;No sabe/no contesta;;Más de 65 años;
ENCUESTA DIGITAL;Encuesta de satisfacción 2021: Bibliotecas especializadas del Ayuntamiento de Madrid. Biblioteca Histórica;2021-12-23 00:00:00.0;190187;2021-11-23 13:31:36. 0;;;;;Iniciar la encuesta;Investigación y estudio;;0;Sí;10;Sí;10;No;;10;No he utilizado nunca el servicio;Sí;10;9;No sabe / No contesta;9;10;9;10;No sabe/ No contesta;10;10;10;10;No sabe/no contesta;Ninguna. El edificio es muy agradable. Los que trabajan allí son expertos muy competentes e interesados en las investigaciones que uno hace. Hacen todo con gran eficacia y rapidez. Además son muy amables;Más de 65 años;
ENCUESTA DIGITAL;Encuesta de satisfacción 2021: Bibliotecas especializadas del Ayuntamiento de Madrid. Biblioteca Histórica;2021-12-23 00:00:00.0;190228;2021-11-23 14:42:23. 0;;;;;Iniciar la encuesta;Investigación y estudio;;0;Sí;10;No;;No;;7;7;Sí;7;7;7;7;10;10;9;9;9;9;9;9;No sabe/no contesta;;De 30 a 44 años;
ENCUESTA DIGITAL;Encuesta de satisfacción 2021: Bibliotecas especializadas del Ayuntamiento de Madrid. Biblioteca Histórica;2021-12-23 00:00:00.0;190249;2021-11-23 16:8:52. 0;;;;;Iniciar la encuesta;Investigación y estudio;;9;Sí;9;No;;No;;No he utilizado nunca el servicio;No he utilizado nunca el servicio;Sí;5;6;7;9;No sabe/ No contesta;No sabe/ No contesta;No sabe/ No contesta;No sabe/ No contesta;8;No sabe/ No contesta;5;8;No sabe/no contesta;Mejorar la posibilidad de incorporación de libros/documentos que puedan ser de interés pero que en la biblioteca n se hayan dado cuenta de ello;Más de 65 años;
ENCUESTA DIGITAL;Encuesta de satisfacción 2021: Bibliotecas especializadas del Ayuntamiento de Madrid. Biblioteca Histórica;2021-12-23 00:00:00.0;190264;2021-11-23 16:57:25. 0;;;;;Iniciar la encuesta;Investigación y estudio;;0;Sí;9;Sí;9;No;;9;9;No;;;;;7;7;8;8;9;9;9;8;No sabe/no contesta;;Más de 65 años;
ENCUESTA DIGITAL;Encuesta de satisfacción 2021: Bibliotecas especializadas del Ayuntamiento de Madrid. Biblioteca Histórica;2021-12-23 00:00:00.0;190265;2021-11-23 16:57:35. 0;;;;;Iniciar la encuesta;Interés personal;;10;Sí;10;Sí;10;Sí;10;10;10;Sí;10;10;10;10;7;10;10;6;10;10;10;10;No sabe/no contesta;;De 45 a 64 años;
